Top values of organization.name,Top values of network.application,Top values of source.ip,Top values of url.original,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Buffalo&state=NY&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Pittsburgh&state=PA&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Toledo&state=OH&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Ford-Explorer_w235,5,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Highlander_w632,3,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Lincoln-Town-Car_w439,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Ford-Explorer-XLT_t353,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Mercury-Grand-Marquis_w498,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Mazda-Mazda6_w446,6,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Camry_w630,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-C-HR_w9247,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Buick-Encore_w71,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Cadillac-XT4_w9552,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Ford-Edge_w231,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Camry_w630,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger-GT_t14119,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger_w195,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Findlay&state=OH&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Pittsburgh&state=PA&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Tundra_w642,4,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Jeep-Cherokee_w371,3,,,
Cabarrus County,web-browsing,,helixmedia360.com/7-18/Camden.South.End.html?s=pano25548&h=138.6448&v=2.1961&f=90.0000&iframe=true,1,,,
Cabarrus County,web-browsing,,helixmedia360.com/Camden/Camden.Southline.html?s=pano24798&h=116.6&v=0.0000&f=90.0000&iframe=true,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Tundra_w642,2,,,
Cabarrus County,web-browsing,,helix.auth0.com/authorize?client_id=UoEqoFnZDIKwtGfaqB1pfZvbyMVKQdne&response_type=code&redirect_uri=https://knowledge.iafc.org&scope=openid%20profile&state=https://knowledge.iafc.org/communities/community-home/viewthread?MessageKey=213d36ef-8b1a-4d3a-bd51-8379f2e34359&CommunityKey=f057b6e7-8125-4b81-98c5-7fee56071687&tab=digestviewer,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Cars-in-Greensboro-NC_c8633,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Lexus-RX-Charlotte-NC_w422_c4968,1,,,
Boyd Corp,web-browsing,,helixacademyindia.com/,3,,,
GIGA Data Centers,web-browsing,,helix.ru/wp-login.php,1,,,
GIGA Data Centers,web-browsing,,helix.ru/xmlrpc.php,1,,,
Corvid Cyberdefense,web-browsing,,helixmedia360.com/Bell/The.Linden.html?s=pano24567&h=64.35&v=0.0000&f=90.0000,1,,,
Corvid Cyberdefense,web-browsing,,helixmedia360.com/Bell/The.Lindendata/graphics/alpo.sidebar-v1.0.72/graphics/sb_menu-close2.png,1,,,
Sterling Construction,web-browsing,,helixproject.com/,1,,,
Town of Mooresville,zendesk-base,,helixsleep.zendesk.com/,1,,,
Corvid Technologies,zendesk-base,,helixsleep.zendesk.com/,1,,,
Iomax USA Inc,zendesk-base,,helixsleep.zendesk.com/,1,,,
McBrayer PLLC,zendesk-base,,helixsleep.zendesk.com/,1,,,
"Leitner, Williams, Dooley and Napolitan",zendesk-base,,helixsleep.zendesk.com/,1,,,
